result,評価項目,評価表現,評判情報
"",画質,が悪い,高感度とスタイル、バッテリーと良いとこ取りで発売日に買いましたが肝心の画質が悪い。
"",画質,は良いと,動画機能は操作も非常に簡単ですし，コンパクトデジカメとしての画質は良いと思います．
"",画質,が良いので,画質はそこそこですが、携帯性と動画の画質が良いので購入しました。
"",画質,はありません,画質は(製品が古いこともあり)正直あまりよくありません。
"",画質,もありません,基本性能である画質も問題ありません。
"",画質,は感じます,パンフレット上では前機種EXZ600とほとんど変わらないのですが、画質は格段に上がったように感じます。
"",画質,がいいです,色々と言われていますが、このクラスではとても画質がいいです。
"",画質,がいい,今発売されている屈曲光学系では、最も明るいレンズを使っていることも、画質がいい一因でしょう。
"",画質,はいいです,当然一眼レフ等と比べたら劣りますが、色々な機種を同条件で撮影した映像を比較した結果、屈曲光学系というグループの中では画質はとてもいいです。
"",画質,はありません,冨士のカメラと比べると画質は良くありません。
"",画質,は思いますが,画質は，光量が十分ある日中屋外であれば特に問題無いと思いますが，室内，曇天等それ以外は，少しノイジーに感じます。
"",画質,といい,液晶といい画質といい多彩な機能と使っていて楽しいデジカメだと思います。
"",画質,はします,画質はフジやソニーに比べ少しボヤけてる感じがします。
"",画質,は良いと,画質は、製品価格を考えると、非常に良いと思います。
"",画質,が良い,他の方のレビューの評価が悪いのが気になっていましたが、画質がもっと良い機種が他にあるという高いレベルの話なのだろうと、割り切れるレベルです。
"",画質,が悪い,・全体的に現像した時の画質が悪い気がする。
"",画質,は思います,画質は、普段使いには十分綺麗だと思います。
"",画質,はよいです,ただし、画質はすごくよいです。
"",画質,はありません,画質は文句ありません。
"",画質,もいい,肩肘はらずに普通に使えて、画質もいいカメラです。
"",画質,が良い,良い点は、軽い、晴天下の画質が良い、ダイヤルで撮影条件設定ができるので設定忘れをしにくい。
"",画質,は思います,画質は、エントリークラスにありがちなケバケバしさはなく、エントリークラスにしては落ち着いた色合いだと思います。
"",画質,は良いと,画質は、とても良いと感じます。
"",画質,もよく,画質もよく、撮るのが楽しくなりますね。
"",画質,は感じません,画質は画素数の割には、あまり緻密さは感じません。
"",画質,はあります,画質は、さすがのHDVで、以前使用していたDVカメラ(現在はサブ機)IXYDVS1と比べると、圧倒的にHC1の方が精細感があります。
"",画質,はいいです,レンズも優秀、APS-Cサイズ1030万画素のCMOSも優秀で画質は非常にいいです。
"",画質,はあります,特に風景撮影における画質はすばらしいものがあります。
"",画質,が良いと,デジタル一眼は画質が良いと言われますが、高価なレンズを使えば・・・という条件付きです。
"",画質,もよく,画質もよく、なによりタッチパネル操作が魅力的です。
"",画質,もよく,手に入れた良品は画質もよく、とても2万円のデジカメとは思えないくらいです。
"",画質,はあり,画質は液晶の画素数が少ないこともあり、パソコンで見てみましたがまずまずで、現在使っているIXY900ISとも遜色ないレベル。
"",画質,は思います,画質は、まあ満足のいくレベルだと思います
"",画質,はいいです,カメラ機能ですが、画質はいいです。
"",画質,も良く,画質も良く、特に暗いところ、室内でも明るい!
"",画質,はいいと,画質は1/1.7型のCCDとバリオ・テッサーレンズのおかげか、かなりいいと思います。
"",画質,も良好です,室内で、オートで撮影する時もISOは160前後のため画質も良好です。
"",画質,が良いと,静止画も、PCでみてると葉書サイズなら気にならないくらい、画質が良いと思います。
"",画質,は思います,画質は語るべきカメラじゃないと思います。
"",画質,も良く,画質も良く、価格が手ごろ。
